"Symbol","Name","SPAC IPO date","SPAC merger completion date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"EVEX","Eve Holding, Inc.","05/10/2022","05/09/2022","$2,344,624,896","Tobacco","1.06","1.10","9.96","0","563,307","0.00%","Analyze"
"SAI","SAI.TECH Global Corporation  - Class A","05/02/2022","05/02/2022","$67,643,005","Capital Markets","0.90","0.91","5.00","12,933,653","66,265","0.51%","Analyze"
"SMR","NuScale Power Corporation Class A","05/03/2022","05/02/2022","$218,040,000","Utilities—Renewable","0.99","0.96","9.44","23,000,000","510,382","2.22%","Analyze"
"SOUN","SoundHound AI, Inc. - Class A","04/28/2022","04/27/2022","$1,238,199,311","Software—Application","1.17","0.97","7.94","155,748,341","794,200","0.51%","Analyze"
"MLTX","MoonLake Immunotherapeutics - Class A","04/06/2022","04/05/2022","$295,405,112","Biotechnology","1.30","1.37","8.16","36,925,639","116,897","0.32%","Analyze"
"LLAP","Terran Orbital Corporation","04/26/2021","03/25/2022","$199,065,000","Aerospace & Defense","1.11","0.68","5.89","34,500,000","451,836","1.31%","Analyze"
"FRGE","Forge Global Holdings, Inc.","03/22/2022","03/21/2022","$765,072,000","Software—Application","0.98","0.88","18.32","41,400,000","1,026,295","2.48%","Analyze"
"DRTS","Alpha Tau Medical Ltd. - Class A","03/08/2022","03/08/2022","$554,695,420","Biotechnology","1.16","0.87","8.27","68,480,916","61,277","0.09%","Analyze"
"RGTI","Rigetti Computing, Inc.","03/01/2022","03/01/2022","$936,746,583","Computer Hardware","0.96","1.17","8.22","113,820,970","503,197","0.44%","Analyze"
"QTEK","QualTek Services Inc.","02/15/2022","02/25/2022","$40,703,063","Telecom Services","1.06","0.66","1.67","24,446,284","277,404","1.13%","Analyze"
"CPTN","Cepton, Inc.","02/11/2022","02/14/2022","$351,229,609","Software—Application","0.96","0.42","2.30","154,048,074","157,627","0.10%","Analyze"
"ISPO","Inspirato Incorporated - Class A","02/09/2021","02/14/2022","$316,753,630","Leisure","1.08","0.55","6.22","52,442,654","549,934","1.05%","Analyze"
"NRGV","Energy Vault Holdings, Inc.","02/14/2022","02/14/2022","$2,114,718,612","Utilities—Renewable","1.12","1.18","15.94","133,758,293","651,785","0.49%","Analyze"
"QNGY","Quanergy Systems, Inc.","02/09/2022","02/08/2022","$48,201,460","Scientific & Technical Instruments","0.77","0.27","0.54","92,695,116","635,145","0.69%","Analyze"
"CORZ","Core Scientific, Inc. - Class A","04/08/2021","02/07/2022","$989,230,285","Software—Infrastructure","0.82","0.30","2.78","325,404,699","3,650,160","1.12%","Analyze"
"SKYH","Sky Harbour Group Corporation Class A","12/08/2020","02/07/2022","$111,583,730","Aerospace & Defense","0.87","0.65","7.11","14,937,581","1,472,330","9.86%","Analyze"
"SST","System1, Inc. Class A","08/07/2020","02/07/2022","$960,907,085","Specialty Business Services","1.02","0.89","10.36","90,566,172","446,720","0.49%","Analyze"
"ANGH","Anghami Inc.","08/21/2020","02/04/2022","$176,772,537","Entertainment","0.95","0.62","6.27","25,768,967","28,706","0.11%","Analyze"
"FSRD","Fast Radius, Inc. - Class A","04/06/2021","02/04/2022","$38,806,390","Software—Infrastructure","0.90","0.07","0.45","73,219,604","262,080","0.36%","Analyze"
"LFLY","Leafly Holdings, Inc.","12/13/2019","02/04/2022","$437,939,156","Pharmaceutical Retailers","1.04","1.07","10.11","42,977,346","148,933","0.35%","Analyze"
"SES","SES AI Corporation Class A","03/01/2021","02/03/2022","$2,012,352,327","Auto Parts","0.90","0.70","6.08","303,980,714","796,865","0.26%","Analyze"
"GRNA","GreenLight Biosciences Holdings, PBC","02/02/2022","02/02/2022","$963,417,760","Biotechnology","1.08","0.96","8.08","123,199,202","225,733","0.18%","Analyze"
"SATL","Satellogic Inc. - Class A","03/26/2021","01/26/2022","$364,356,639","Scientific & Technical Instruments","0.96","0.55","4.72","77,031,002","178,063","0.23%","Analyze"
"SOND","Sonder Holdings Inc. - Class A","03/15/2021","01/18/2022","$532,406,141","Lodging","1.10","0.31","2.39","217,308,629","994,848","0.46%","Analyze"
"GLS","Gelesis Holdings, Inc.","08/24/2020","01/13/2022","$358,332,544","Biotechnology","1.02","0.68","4.98","72,390,413","82,660","0.11%","Analyze"
"REVB","Revelation Biosciences, Inc.","12/10/2013","01/11/2022","$7,239,730","Biotechnology","0.92","0.08","0.48","15,082,771","188,625","1.25%","Analyze"
