"Symbol","Name","Market cap","Date Added","Proposed Merger","Last Close Price","Momentum factor 10","Momentum factor 200","Shares outstanding","Average trading volume","% traded","Action"
"AHPA","Avista Public Acquisition Corp. II Class A","$232,530,000","04/11/2022","On 3/23/2022 the company announced a proposed merger with OmniAb, Ligand’s antibody discovery business.","10.09","1.00","1.01","23,000,000","99,582","0.43%","Analyze"
"ISAA","Iron Spark I Inc.","$176,742,212","04/10/2022","On 4/3/2022 the company announced a proposed merger with Hypebeast Limited, the go-to platform for contemporary culture and lifestyle and a premier destination for editorially-driven commerce and news.","9.88","1.00","0.99","17,870,800","51,423","0.29%","Analyze"
"RNER","Mount Rainier Acquisition Corp.","$222,030,174","04/10/2022","On 3/23/2022 the company announced a proposed merger with HUB Cyber Security (Israel) Limited (TASE:HUB.TA), a Tel-Aviv based developer of Confidential Computing cybersecurity solutions and services.","10.02","1.00","1.00","22,158,700","15,158","0.07%","Analyze"
"RVAC","Riverview Acquisition Corp. Class A","$247,500,000","04/10/2022","On 4/6/2022 the company announced a proposed merger with Westrock Coffee Holdings, LLC,  a leading integrated coffee, tea, flavors, extracts, and ingredients solutions provider in the U.S.","9.92","1.00","1.01","25,000,000","45,005","0.18%","Analyze"
"THCP","Thunder Bridge Capital Partners IV, Inc. Class A","$238,634,249","04/10/2022","On 3/22/2022 the company announced a proposed merger with Coincheck, Inc. (“Coincheck”), one of the largest multi-cryptocurrency marketplaces and digital asset exchanges in Japan by verified account market share.","9.80","1.00","0.99","24,300,840","51,267","0.21%","Analyze"
"VCXA","10X Capital Venture Acquisition Corp. II Class A Ordinary Share","$203,864,850","04/10/2022","On 4/1/2022 the company announced a proposed merger with Prime Blockchain Inc. (“PrimeBlock” or the “Company”), a diversified infrastructure provider for blockchain technology that owns and operates a growing portfolio of proprietary data centers and crypto assets mining operations in North America.","9.88","1.00","1.00","20,655,000","45,313","0.22%","Analyze"
"BCAC","Brookline Capital Acquisition Corp.","$68,472,834","03/20/2022","On 3/18/2022 the company announced a proposed merger with Apexigen, Inc., a clinical-stage biopharmaceutical company focused on discovering and developing a new generation of antibody therapeutics for oncology.","10.14","1.00","1.01","6,746,092","22,010","0.33%","Analyze"
"EDNC","Endurance Acquisition Corp. Class A","$197,200,000","03/14/2022","On 3/8/2022 the company announced a proposed merger with SatixFy Communications Ltd. , a leader in next- generation satellite communication systems based on in-house developed chipsets.","9.86","1.00","1.01","20,000,000","107,033","0.54%","Analyze"
"PAQC","Provident Acquisition Corp. Class A","$226,780,000","03/14/2022","On 3/3/2022 the company announced a proposed merger with Perfect Corp. (“Perfect”), a global leader in providing augmented reality (“AR”) and artificial intelligence (“AI”) Software-as-a-Service (“SaaS”) solutions to beauty and fashion industries,","9.85","1.00","1.01","23,000,000","24,368","0.11%","Analyze"
"DWIN","Delwinds Insurance Acquisition Corp. Class A","$207,575,000","02/28/2022","On 2/24/2022 the company announced a proposed merger with FOXO Technologies, a technology company applying epigenetic science and AI to modernize the life insurance industry.","10.01","1.00","1.01","20,757,500","203,214","0.98%","Analyze"
"GLSPT","Global SPAC Partners Co. Subunit (1 class A share and 1/4 warrant)","$156,770,839","02/28/2022","On 12/21/2021 the company announced a proposed merger with Gorilla Technology Group Inc., who specializes in creating and delivering video analytics, network security, and big data to support a wide range of solutions for commercial, industrial, cities and government purposes.","10.14","1.00","1.01","15,460,635","28,196","0.18%","Analyze"
"OPA","Magnum Opus Acquisition Limited Class A","$195,200,000","02/15/2022","On 8/26/2021 the company announced a proposed merger with Forbes Global Media Holdings Inc., the iconic business information brand that convenes and curates the most influential leaders driving change.","9.81","1.00","0.99","20,000,000","501,060","2.51%","Analyze"
"SPK","SPK Acquisition Corp","$65,896,787","02/15/2022","On 2/14/2022 the company announced a proposed merger with  Varian Biopharmaceuticals, Inc. (“Varian Bio”), a private, precision oncology company developing novel therapeutics for the treatment of cancer.","9.98","1.00","1.01","6,596,275","2,468","0.04%","Analyze"
"CHWA","CHW Acquisition Corporation","$155,776,875","02/11/2022","On 2/3/2022 the company announced a proposed merger with Wag Labs,  an American pet services marketplace company powering a mobile-first technology platform that enables on-demand and scheduled dog walking, training, and other pet care services.","9.93","1.00","1.01","15,687,500","3,559","0.02%","Analyze"
"EJFA","EJF Acquisition Corp. Class A ordinary share","$286,637,500","02/11/2022","On 9/15/2021 the company announced a proposed merger with  Pagaya Technologies Ltd., a financial technology company that enables financial institutions to expand access to more customers through its artificial intelligence network,.","9.97","1.00","1.01","28,750,000","420,739","1.46%","Analyze"
"XPOA","DPCM Capital, Inc. Class A","$296,700,000","02/09/2022","On 2/9/2022 the company announced a proposed merger with D-Wave Systems Inc., a leader in quantum computing systems, software, and services—and the only provider building both annealing and gate-model quantum computers.","9.89","1.00","1.01","30,000,000","75,479","0.25%","Analyze"
"MCAE","Mountain Crest Acquisition Corp. III","$69,523,688","02/08/2022","On 1/28/2022 the company announced a proposed merger with ETAO International Group (""ETAO""), a digital healthcare group providing telemedicine, hospital care, primary care, pharmacy and health insurance covering all life stages of patients, is to go public.","9.87","1.00","1.00","7,051,084","6,679","0.09%","Analyze"
