,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2020-12-18,10.149999618530273,10.149999618530273,9.960000038146973,9.970000267028809,9.970000267028809,54500,ACHR,,0.9812808288153598,-0.018044096958926902,,,
2020-12-21,10.34000015258789,10.34000015258789,9.829999923706055,10.069999694824219,10.069999694824219,23700,ACHR,,0.9506769611841647,-0.02680236007409682,0.01003003260953883,0.036832392683635654,
2020-12-22,10.09000015258789,10.119999885559082,9.960000038146973,10.020000457763672,10.020000457763672,186000,ACHR,,0.9841897382192243,-0.006975997168291736,-0.00496516768379307,0.0020108294844986656,
2020-12-23,10.140000343322754,10.229999542236328,9.729999542236328,10.0600004196167,10.0600004196167,30500,ACHR,,0.9511241424854748,-0.007942278366714305,0.0039920119786056585,0.011934290345319964,
2020-12-24,10.050000190734863,10.1899995803833,9.949999809265137,10.029999732971191,10.029999732971191,254300,ACHR,,0.9764475190381572,-0.0019840636386983623,-0.002982175486494709,-0.0009981118477963469,
2020-12-28,11.010000228881836,11.819999694824219,10.199999809265137,10.4399995803833,10.4399995803833,333100,ACHR,,0.8629441685799321,-0.054587765460600464,0.04087735377143975,0.09546511923204021,
2020-12-29,10.489999771118164,10.489999771118164,10.149999618530273,10.220000267028809,10.220000267028809,109400,ACHR,,0.9675881639650743,-0.02640873747894241,-0.0210727320112033,0.005336005467739113,
2020-12-30,10.289999961853027,10.449999809265137,10.1899995803833,10.199999809265137,10.199999809265137,50900,ACHR,,0.9751195948681917,-0.008813544536357586,-0.0019569919022601745,0.006856552634097412,
2020-12-31,10.319999694824219,10.319999694824219,10.0600004196167,10.0600004196167,10.0600004196167,132700,ACHR,,0.9748062710372059,-0.02583485729250363,-0.01372543061434861,0.012109426678155021,
2021-01-04,10.109000205993652,10.149999618530273,10.069999694824219,10.09000015258789,10.09000015258789,25100,ACHR,,0.9921182338214078,-0.0018730577917174906,0.002982080687858879,0.00485513847957637,
2021-01-05,10.1899995803833,10.279999732971191,10.119999885559082,10.15999984741211,10.15999984741211,135200,ACHR,,0.9844358121042611,-0.0029427296674942693,0.006937531592233537,0.009880261259727807,
2021-01-06,10.3100004196167,10.520000457763672,10.130000114440918,10.149999618530273,10.149999618530273,210000,ACHR,,0.9629277256318999,-0.015753626315248525,-0.0009842745110260065,0.014769351804222518,
2021-01-07,10.289999961853027,10.390000343322754,10.119999885559082,10.220000267028809,10.220000267028809,121100,ACHR,,0.9740134312952944,-0.006839285028890595,0.00689661587481627,0.013735900903706865,
2021-01-08,10.270000457763672,10.420000076293945,10.199999809265137,10.369999885559082,10.369999885559082,284300,ACHR,,0.9788867307660275,0.009653146470489916,0.014677066008911277,0.005023919538421361,
2021-01-11,10.399999618530273,10.399999618530273,10.260000228881836,10.359999656677246,10.359999656677246,251700,ACHR,,0.9865385197323476,-0.003851000306814244,-0.0009643422364702392,0.0028866580703440048,
2021-01-12,10.399999618530273,10.680000305175781,10.260000228881836,10.460000038146973,10.460000038146973,247900,ACHR,,0.9606741512834599,0.005746177762703742,0.009652546793790018,0.003906369031086276,
2021-01-13,10.600000381469727,10.680000305175781,10.420000076293945,10.479999542236328,10.479999542236328,858600,ACHR,,0.9756554099763617,-0.011440462259065209,0.0019119984719329075,0.013352460730998116,
2021-01-14,10.59000015258789,10.59000015258789,10.4399995803833,10.489999771118164,10.489999771118164,925500,ACHR,,0.985835640222542,-0.009522925038287843,0.0009542203548322803,0.010477145393120123,
2021-01-15,10.510000228881836,10.539999961853027,10.380000114440918,10.420000076293945,10.420000076293945,211300,ACHR,,0.9848197487674393,-0.00862725066496368,-0.0066729929791750076,0.0019542576857886733,
2021-01-19,10.489999771118164,10.59000015258789,10.40999984741211,10.5600004196167,10.5600004196167,1115300,ACHR,,0.9830028042887426,0.006638849026227179,0.01343573342588189,0.006796884399654712,
2021-01-20,10.619999885559082,10.619999885559082,10.460000038146973,10.5,10.5,284100,ACHR,,0.9849341008346266,-0.011418560529436416,-0.005681857692471315,0.005736702836965101,
2021-01-21,10.600000381469727,10.720000267028809,10.520000457763672,10.5600004196167,10.5600004196167,272200,ACHR,,0.981343301839248,-0.003777875024959364,0.0057143256777809626,0.009492200702740327,
2021-01-22,10.550000190734863,10.649999618530273,10.479999542236328,10.600000381469727,10.600000381469727,463400,ACHR,,0.9840375509499403,0.004726998956176499,0.003787875024959364,-0.0009391239312171347,
2021-01-25,10.739999771118164,10.869999885559082,10.529999732971191,10.729999542236328,10.729999542236328,505300,ACHR,,0.9687212367831223,-0.0009219878199876008,0.012264071329078252,0.013186059149065853,
2021-01-26,10.850000381469727,10.899999618530273,10.529999732971191,10.579999923706055,10.579999923706055,396200,ACHR,,0.9660550551827476,-0.025509892222181984,-0.013979461782811065,0.01153043043937092,
2021-01-27,10.4399995803833,10.5,10.210000038146973,10.25,10.25,576800,ACHR,,0.9723809560139974,-0.01852654442763908,-0.031190919289766805,-0.012664374862127726,
2021-01-28,10.40999984741211,10.5600004196167,10.279999732971191,10.4399995803833,10.4399995803833,547700,ACHR,,0.9734847845152197,0.002883537756415301,0.01853654442763908,0.01565300667122378,
