,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-04-05,10.0,10.0,9.829999923706055,9.829999923706055,9.829999923706055,2000,BBAI,-0.07741932980027366,0.9829999923706054,-0.01728400586097385,,,4.479246907401335
2021-04-06,9.5600004196167,9.720000267028809,9.5600004196167,9.710000038146973,9.710000038146973,1600,BBAI,0.005917192546996741,0.9835391108007636,0.015457952414107235,-0.012207516428325738,-0.027665468842432973,0.3827927780135093
2021-04-07,9.670000076293945,9.720000267028809,9.569999694824219,9.619999885559082,9.619999885559082,38800,BBAI,-0.08021390047067656,0.9845678427897367,-0.005187525086244604,-0.00926881073473873,-0.004081285648494127,15.462845795844753
2021-04-08,9.619999885559082,9.619999885559082,9.619999885559082,9.619999885559082,9.619999885559082,100,BBAI,-0.022674493005686358,1.0,1e-05,0.0,-1e-05,-2267.4493005686354
2021-04-09,9.619999885559082,9.619999885559082,9.619999885559082,9.619999885559082,9.619999885559082,0,BBAI,0.029744200826003375,1.0,1e-05,0.0,-1e-05,2974.420082600337
2021-04-12,9.710000038146973,9.710000038146973,9.699999809265137,9.699999809265137,9.699999809265137,6700,BBAI,-0.01155394926408404,0.9989701103148766,-0.001020951451389095,0.008316000484173136,0.009336951935562231,11.316844937498123
2021-04-13,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,BBAI,0.02396258520084782,1.0,1e-05,0.0,-1e-05,2396.2585200847816
2021-04-14,9.760000228881836,9.84000015258789,9.739999771118164,9.800000190734863,9.800000190734863,278800,BBAI,0.026826444125246596,0.9898373597643262,0.004091628681073312,0.010309317880007551,0.006217689198934239,6.556421957187354
2021-04-15,9.75100040435791,9.829999923706055,9.75,9.770000457763672,9.770000457763672,627200,BBAI,0.015564240700827181,0.9918616557144495,0.001954734136697379,-0.003061197182379072,-0.0050159313190764505,7.962331249365574
2021-04-16,9.75,9.779999732971191,9.75,9.779999732971191,9.779999732971191,64700,BBAI,-0.01313627614148083,0.99693254255723,0.0030774574427700385,0.0010234672199604944,-0.002053990222809544,-4.268548431869389
2021-04-19,9.75,9.84000015258789,9.699999809265137,9.789999961853027,9.789999961853027,63700,BBAI,-0.013865778728736844,0.9857723230536806,0.004095797958007009,0.0010225183184946474,-0.0030732796395123614,-3.3853668737810128
2021-04-20,9.850000381469727,9.850000381469727,9.729999542236328,9.789999961853027,9.789999961853027,51800,BBAI,-0.03149613901374204,0.9878171741537036,-0.006118745643564138,0.0,0.006118745643564138,5.147482972571434
2021-04-21,9.819999694824219,9.819999694824219,9.736000061035156,9.770000457763672,9.770000457763672,51500,BBAI,0.027874649751740144,0.9914460655397641,-0.00510762893734713,-0.002042850272449881,0.003064778664897249,-5.457453956359261
2021-04-22,9.800000190734863,9.8100004196167,9.75,9.770000457763672,9.770000457763672,89900,BBAI,-0.011299477645120626,0.9938837495361653,-0.003060596884911403,0.0,0.003060596884911403,3.6919196058868495
2021-04-23,9.729999542236328,9.770000457763672,9.729999542236328,9.770000457763672,9.770000457763672,8800,BBAI,0.006857190813337022,0.9959057406700982,0.004104259329901817,0.0,-0.004104259329901817,1.6707498874105164
2021-04-26,9.729999542236328,9.748000144958496,9.710000038146973,9.720000267028809,9.720000267028809,5600,BBAI,0.021566353159330198,0.996101753565199,-0.0010187319889730195,-0.0051177265498622004,-0.0040989945608891805,-21.16980068631316
2021-04-27,9.729999542236328,9.739999771118164,9.710000038146973,9.729999542236328,9.729999542236328,4200,BBAI,0.0,0.9969199452077865,1e-05,0.0010287319889730195,0.0010187319889730195,0.0
2021-04-28,9.739999771118164,9.739999771118164,9.680000305175781,9.729999542236328,9.729999542236328,55300,BBAI,0.0405555301242404,0.9938398904155729,-0.0010177728008543096,0.0,0.0010177728008543096,-39.84733143801686
2021-04-29,9.729999542236328,9.734000205993652,9.699999809265137,9.729999542236328,9.729999542236328,89000,BBAI,0.005339048794113621,0.9965070478725098,1e-05,0.0,-1e-05,533.9048794113621
2021-04-30,9.729999542236328,9.729999542236328,9.699999809265137,9.710000038146973,9.710000038146973,3500,BBAI,0.010090309868690639,0.9969167796112459,-0.0020496811545607885,-0.0020554475878997724,-5.766433338983985e-06,-4.922868050105491
2021-05-03,9.729999542236328,9.729999542236328,9.710000038146973,9.729999542236328,9.729999542236328,1900,BBAI,-0.038906401330611295,0.9979445524121002,1e-05,0.0020596811545607885,0.0020496811545607885,-3890.6401330611293
2021-05-04,9.729999542236328,9.729999542236328,9.65999984741211,9.710000038146973,9.710000038146973,14500,BBAI,-0.036652081571496575,0.9928057864216374,-0.0020496811545607885,-0.0020554475878997724,-5.766433338983985e-06,17.881845422611836
2021-05-05,9.680000305175781,9.6899995803833,9.65999984741211,9.670000076293945,9.670000076293945,23100,BBAI,-0.02952870185921541,0.9969040521908872,-0.0010241498245023395,-0.0041194605248077165,-0.003095310700305377,28.8324043540838
2021-05-06,9.699999809265137,9.699999809265137,9.65999984741211,9.699999809265137,9.699999809265137,27300,BBAI,-0.03452312155178938,0.9958762925113853,1e-05,0.0031023508515513054,0.0030923508515513054,-3452.3121551789377
2021-05-07,9.699999809265137,9.720000267028809,9.670000076293945,9.680000305175781,9.680000305175781,27300,BBAI,0.024848475600733888,0.9948559475965789,-0.002056064406905266,-0.002061804585836491,-5.7401789312250436e-06,-12.085455843348392
2021-05-10,9.670000076293945,9.720000267028809,9.65999984741211,9.710000038146973,9.710000038146973,15900,BBAI,-0.033707847425643256,0.9938271174929669,0.004129460524807716,0.003099145870393283,-0.0010303146544144333,-8.162772648665246
2021-05-11,9.670000076293945,9.6899995803833,9.609999656677246,9.680000305175781,9.680000305175781,28600,BBAI,-0.055691544609195454,0.9917440735634283,0.001043081463488017,-0.003089570839684197,-0.004132652303172214,-53.391366406766984
2021-05-12,9.699999809265137,9.699999809265137,9.670000076293945,9.699999809265137,9.699999809265137,80500,BBAI,-0.06351266860195182,0.9969072439627744,1e-05,0.002066064406905266,0.002056064406905266,-6351.266860195181
2021-05-13,9.710000038146973,9.710000038146973,9.645000457763672,9.65999984741211,9.65999984741211,14200,BBAI,-0.05467127835852914,0.9933059134780698,-0.005166003263422269,-0.004123707488614681,0.0010422957748075883,10.582896597380703
2021-05-14,9.699999809265137,9.699999809265137,9.640000343322754,9.65999984741211,9.65999984741211,37200,BBAI,0.03587114030685701,0.9938144879255489,-0.004130782865927673,0.0,0.004130782865927673,-8.683860050533358
2021-05-17,9.699999809265137,9.699999809265137,9.65999984741211,9.699999809265137,9.699999809265137,7300,BBAI,-0.0056537050079698,0.9958762925113853,1e-05,0.004140782865927672,0.004130782865927673,-565.37050079698
2021-05-18,9.720000267028809,9.720000267028809,9.65999984741211,9.670000076293945,9.670000076293945,7200,BBAI,0.009950273373087182,0.9938271174929669,-0.005160650500555763,-0.003092756037225586,0.002067894463330177,-1.928104484505512
2021-05-19,9.720000267028809,9.720000267028809,9.609999656677246,9.619999885559082,9.619999885559082,42700,BBAI,0.014778327767996036,0.9886830650895458,-0.010385050172489207,-0.005170650500555762,0.005214399671933444,-1.4230386490712348
2021-05-20,9.619999885559082,9.65999984741211,9.619999885559082,9.649999618530273,9.649999618530273,39000,BBAI,-0.00970876162150025,0.9958592171340724,0.0031187807416680935,0.003118475397928533,-3.0534373956061026e-07,-3.1129990934558216
2021-05-21,9.720000267028809,9.720000267028809,9.640000343322754,9.649999618530273,9.649999618530273,14600,BBAI,-0.02871147444530109,0.9917695554003818,-0.007243953499036126,0.0,0.007243953499036126,3.963508938747524
2021-05-24,9.649999618530273,9.649999618530273,9.619999885559082,9.640000343322754,9.640000343322754,59600,BBAI,0.0072098328979688375,0.9968912192583319,-0.0010272691754565455,-0.0010361943629840775,-8.925187527532037e-06,-7.018445671519928
