,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2019-11-05,9.75,9.75,9.75,9.75,9.75,25000,BLDE,,1.0,1e-05,,,
2019-11-06,9.699999809265137,9.75,9.699999809265137,9.75,9.75,211000,BLDE,,0.9948717753092448,0.005138224690755245,0.0,-0.005138224690755245,
2019-11-07,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,50000,BLDE,,1.0,1e-05,0.002051329001402147,0.0020413290014021468,
2019-11-08,9.75,9.75,9.75,9.75,9.75,200,BLDE,,1.0,1e-05,-0.0020471296649509085,-0.0020571296649509086,
2019-11-11,9.75,9.75,9.75,9.75,9.75,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-12,9.75,9.75,9.75,9.75,9.75,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-13,9.75,9.760000228881836,9.75,9.75,9.75,400400,BLDE,,0.998975386409086,1e-05,0.0,-1e-05,
2019-11-14,9.739999771118164,9.75,9.729999542236328,9.729999542236328,9.729999542236328,372200,BLDE,,0.9979486709985977,-0.0010177728008543096,-0.002051329001402258,-0.0010335562005479482,
2019-11-15,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-18,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,150000,BLDE,,1.0,1e-05,-0.0010276747870453518,-0.0010376747870453518,
2019-11-19,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,700,BLDE,,1.0,1e-05,0.006172784392394215,0.006162784392394215,
2019-11-20,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-21,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,3700,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-22,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-25,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-26,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,100,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-27,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-11-29,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-12-02,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,100,BLDE,,1.0,1e-05,0.0,-1e-05,
2019-12-03,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,9.779999732971191,0,BLDE,,1.0,1e-05,0.0,-1e-05,
