,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-04-23,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,100,BOWL,0.006857190813337022,1.0,1e-05,,,685.7190813337021
2021-04-26,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,BOWL,0.021566353159330198,1.0,1e-05,0.0,-1e-05,2156.6353159330197
2021-04-27,9.710000038146973,9.710000038146973,9.699999809265137,9.699999809265137,9.699999809265137,101100,BOWL,0.0,0.9989701103148766,-0.001020951451389095,0.0,0.001020951451389095,-0.0
2021-04-28,9.710000038146973,9.75,9.699999809265137,9.75,9.75,8400,BOWL,0.0405555301242404,0.9948717753092448,0.0041125601900540605,0.005154658940003776,0.0010420987499497152,9.861382751873423
2021-04-29,9.75,9.75,9.75,9.75,9.75,1500,BOWL,0.005339048794113621,1.0,1e-05,0.0,-1e-05,533.9048794113621
2021-04-30,9.75,9.75,9.75,9.75,9.75,22100,BOWL,0.010090309868690639,1.0,1e-05,0.0,-1e-05,1009.0309868690638
2021-05-03,9.989999771118164,9.989999771118164,9.819999694824219,9.819999694824219,9.819999694824219,9200,BOWL,-0.038906401330611295,0.9829829749560728,-0.017301617268536806,0.0071794558794071595,0.024481073147943965,2.2487147141650765
2021-05-04,9.819999694824219,9.819999694824219,9.75,9.75,9.75,1000,BOWL,-0.036652081571496575,0.9928717212831368,-0.00716945587940716,-0.007128278716863168,4.1177162543992035e-05,5.112254289307004
2021-05-05,9.75,9.75,9.75,9.75,9.75,100,BOWL,-0.02952870185921541,1.0,1e-05,0.0,-1e-05,-2952.8701859215407
2021-05-06,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,1500,BOWL,-0.03452312155178938,1.0,1e-05,0.004102560190054172,0.004092560190054172,-3452.3121551789377
2021-05-07,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,200,BOWL,0.024848475600733888,1.0,1e-05,0.0010214738427785086,0.0010114738427785086,2484.8475600733886
2021-05-10,9.869999885559082,9.869999885559082,9.86299991607666,9.86299991607666,9.86299991607666,600,BOWL,-0.033707847425643256,0.999290783225574,-0.0006997201198402736,0.006428543277107179,0.007128263396947453,48.17332883516028
2021-05-11,9.75,9.75,9.75,9.75,9.75,1500,BOWL,-0.055691544609195454,1.0,1e-05,-0.011456951945469473,-0.011466951945469473,-5569.154460919545
2021-05-12,9.75,9.75,9.75,9.75,9.75,0,BOWL,-0.06351266860195182,1.0,1e-05,0.0,-1e-05,-6351.266860195181
2021-05-13,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,100,BOWL,-0.05467127835852914,1.0,1e-05,-0.0010256645007010734,-0.0010356645007010734,-5467.127835852913
2021-05-14,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,100,BOWL,0.03587114030685701,1.0,1e-05,0.013347034650494027,0.013337034650494028,3587.1140306857005
2021-05-17,9.899999618530273,9.899999618530273,9.770000457763672,9.770000457763672,9.770000457763672,300,BOWL,-0.0056537050079698,0.9868687711337608,-0.013295952372120844,-0.01013165440272401,0.0031642979693968336,0.4252200105518259
2021-05-18,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,BOWL,0.009950273373087182,1.0,1e-05,0.0,-1e-05,995.0273373087181
2021-05-19,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,BOWL,0.014778327767996036,1.0,1e-05,0.0,-1e-05,1477.8327767996034
