,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-07-28,10.0,10.0,10.0,10.0,10.0,500,BSGA,0.0,1.0,1e-05,,,0.0
2021-07-29,9.75,9.75,9.699999809265137,9.699999809265137,9.699999809265137,3700,BSGA,0.021604917603937457,0.9948717753092448,-0.005144658940003776,-0.030000019073486373,-0.024855360133482596,-4.199484913556116
2021-07-30,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,600,BSGA,0.03172206069143124,1.0,1e-05,0.001030951451389095,0.001020951451389095,3172.206069143124
2021-08-02,9.899999618530273,9.899999618530273,9.850000381469727,9.850000381469727,9.850000381469727,7500,BSGA,-0.030014630453292668,0.9949495718194816,-0.005066064479612397,0.014418160944669856,0.019484225424282253,5.924644381073704
2021-08-03,9.899999618530273,9.899999618530273,9.729999542236328,9.75,9.75,4200,BSGA,-0.037735849056603765,0.9828282744601577,-0.015374576259515282,-0.01015232259867238,0.005222253660842901,2.4544318112994596
2021-08-04,9.75,9.75,9.75,9.75,9.75,0,BSGA,0.054901945824716636,1.0,1e-05,0.0,-1e-05,5490.194582471663
2021-08-05,9.770000457763672,9.770000457763672,9.739999771118164,9.760000228881836,9.760000228881836,3600,BSGA,0.034944258267204154,0.9969293055025736,-0.001014613590913992,0.0010256645007011844,0.0020402780916151764,-34.44095227989742
2021-08-06,9.779999732971191,9.779999732971191,9.75,9.75,9.75,51200,BSGA,0.04166666095740945,0.99693254255723,-0.0030668956893529875,-0.001024613590913992,0.0020422820984389955,-13.585940044214457
2021-08-09,9.800000190734863,9.875,9.75,9.770000457763672,9.770000457763672,3900,BSGA,0.05379308503249591,0.9873417721518988,-0.003060596884911403,0.002051329001402147,0.00511192588631355,-17.576011168832217
2021-08-10,9.75,9.760000228881836,9.739999771118164,9.75,9.75,75500,BSGA,0.041884839954660524,0.997950772818172,1e-05,-0.0020471296649509085,-0.0020571296649509086,4188.483995466052
2021-08-11,9.800000190734863,9.829999923706055,9.729999542236328,9.739999771118164,9.739999771118164,41400,BSGA,0.02826637944616195,0.9898270211347037,-0.0061502074976034875,-0.0010256645007010734,0.005124542996902414,-4.596004192895334
2021-08-12,9.729999542236328,9.75,9.699999809265137,9.75,9.75,139600,BSGA,0.03848498035850456,0.9948717753092448,0.002061329001402258,0.0010267175684632868,-0.001034611432938971,18.66998442864988
2021-08-13,9.800000190734863,9.819999694824219,9.75,9.767999649047852,9.767999649047852,33900,BSGA,0.012352887321920969,0.9928717212831368,-0.0032660588489713083,0.0018461178510615905,0.005112176700032899,-3.782199860180623
2021-08-16,9.779999732971191,9.791000366210938,9.720000267028809,9.779999732971191,9.779999732971191,56200,BSGA,-0.011621084615353938,0.9927484325884459,1e-05,0.0012285098643005643,0.0012185098643005643,-1162.1084615353936
2021-08-17,9.800000190734863,9.819999694824219,9.758999824523926,9.779999732971191,9.779999732971191,76700,BSGA,-0.054085835621086376,0.9937882003873744,-0.0020350366369892947,0.0,0.0020350366369892947,26.577327718828137
2021-08-18,9.770000457763672,9.779999732971191,9.770000457763672,9.779999732971191,9.779999732971191,5600,BSGA,-0.00683658230630102,0.9989775791942193,0.0010324208057807438,0.0,-0.0010324208057807438,-6.621895130378563
2021-08-19,9.760000228881836,9.770000457763672,9.75,9.770000457763672,9.770000457763672,4300,BSGA,-0.02252813936106446,0.9979528703350491,0.0010335648324754543,-0.0010224208057807438,-0.002055985638256198,-21.796542077682844
