,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-11-11,9.996000289916992,10.0,8.649999618530273,8.800000190734863,8.800000190734863,775900,EMBK,-0.048172751291004956,0.8649999618530273,-0.13589909923403704,,,0.35447439727355967
2021-11-12,9.390000343322754,9.550000190734863,8.649999618530273,8.699999809265137,8.699999809265137,518800,EMBK,-0.0034903980558358416,0.9057591042691554,-0.07930040795228462,-0.011363679466167786,0.06793672848611683,0.044014881461089436
2021-11-15,8.600000381469727,9.09000015258789,8.0,8.649999618530273,8.649999618530273,1369500,EMBK,-0.021015741638773178,0.880087994027418,0.0057902588746289625,-0.005747148486326958,-0.011537407360955921,-3.629499491094836
2021-11-16,8.800000190734863,9.0,7.840000152587891,8.010000228881836,8.010000228881836,629300,EMBK,-0.0026834244925395545,0.8711111280653212,-0.09861670902361615,-0.07398837200841168,0.024628337015204463,0.02721064735487111
2021-11-17,7.920000076293945,8.010000228881836,7.820000171661377,7.889999866485596,7.889999866485596,308300,EMBK,-0.034080643387204956,0.9762796439711235,-0.0037923080248430485,-0.0149813182231322,-0.011189010198289152,8.986781443897993
2021-11-18,7.889999866485596,8.010000228881836,7.099999904632568,7.170000076293945,7.170000076293945,377000,EMBK,-0.025069679321047644,0.8863919727532518,-0.10040837971134405,-0.09125472780424215,0.009153651907101892,0.24967716233563816
2021-11-19,7.309999942779541,8.319999694824219,7.230000019073486,7.989999771118164,7.989999771118164,708900,EMBK,-0.006666637602306569,0.8689904187822496,0.08511636393215564,0.1143653676567411,0.029249003724585457,-0.07832380630850722
2021-11-22,8.460000038146973,8.9399995803833,8.149999618530273,8.449999809265137,8.449999809265137,1302200,EMBK,-0.05560881176755439,0.91163310973901,-0.0011734590659838273,0.05757197137974357,0.058745430445727394,47.388795552857225
2021-11-23,8.420000076293945,8.800000190734863,8.210000038146973,8.520000457763672,8.520000457763672,442900,EMBK,-0.04467010325048981,0.9329545295681838,0.01174713334470583,0.008284100601017919,-0.003463032743687911,-3.8026386472084805
2021-11-24,8.510000228881836,8.510000228881836,7.260000228881836,8.010000228881836,8.010000228881836,729800,EMBK,0.012752379118484702,0.8531139874993584,-0.062411970750654806,-0.05985917857752099,0.002552792173133818,-0.2043258523181774
2021-11-26,7.46999979019165,8.010000228881836,7.375,7.980000019073486,7.980000019073486,303200,EMBK,-0.003147925898402737,0.9207240685721579,0.06391980296526982,-0.0037453444383406254,-0.06766514740361045,-0.049248053848243725
2021-11-29,7.940000057220459,8.0600004196167,7.5,7.940000057220459,7.940000057220459,444900,EMBK,-0.01578943352950246,0.9305210433669766,1e-05,-0.005012526536017692,-0.005022526536017691,-1578.943352950246
2021-11-30,8.0,8.130000114440918,7.480000019073486,7.829999923706055,7.829999923706055,429500,EMBK,0.02245989621167932,0.920049189887111,-0.02170137649430288,-0.013853920997692226,0.007847455496610655,-1.0349526085396272
2021-12-01,7.989999771118164,8.100000381469727,7.7210001945495605,7.989999771118164,7.989999771118164,430800,EMBK,-0.09623431337996025,0.9532098556702293,1e-05,0.020434208042288127,0.020424208042288127,-9623.431337996024
2021-12-02,7.860000133514404,8.010000228881836,7.380000114440918,7.690000057220459,7.690000057220459,403700,EMBK,0.07060180930995807,0.9213483025669197,-0.022096641746292955,-0.03754689893510743,-0.015450257188814476,-3.1951375290683073
2021-12-03,7.800000190734863,7.800000190734863,7.050000190734863,7.360000133514404,7.360000133514404,621800,EMBK,-0.002162211650126644,0.9038461561974218,-0.05977261538568197,-0.04291286362165947,0.016859751764022497,0.036173950833086416
2021-12-06,7.460000038146973,8.050000190734863,6.909999847412109,7.989999771118164,7.989999771118164,1622100,EMBK,0.06175521958481389,0.8583850538743047,0.06634288462497921,0.0855977752955468,0.019254890670567584,0.9308491774800219
2021-12-07,8.170000076293945,8.90999984741211,8.14900016784668,8.5,8.5,1143400,EMBK,0.049999975671574104,0.9145903824244778,0.038833520436006456,0.063829817708551,0.02499629727254455,1.2875468180632448
2021-12-08,8.640000343322754,9.670000076293945,8.449999809265137,9.5,9.5,1563200,EMBK,0.04664727868708418,0.873836581447435,0.0905362796502364,0.11764705882352944,0.027110779173293034,0.515232996841641
2021-12-09,9.470000267028809,10.489999771118164,9.170000076293945,9.300000190734863,9.300000190734863,1279300,EMBK,-0.03992574623019729,0.8741658986057809,-0.018269577721225016,-0.02105261150159332,-0.0027830337803683054,2.185367764894359
2021-12-10,9.329999923706055,9.854999542236328,9.039999961853027,9.09000015258789,9.09000015258789,1236600,EMBK,-0.0009671401096965626,0.9173009012440443,-0.026392614641303002,-0.022580648800005987,0.003811965841297015,0.036644346262800394
2021-12-13,9.180000305175781,9.829999923706055,9.0600004196167,9.229999542236328,9.229999542236328,1060600,EMBK,-0.011616639539725249,0.9216684119973976,0.005427035703171091,0.015401472750094625,0.009974437046923534,-2.1405128278292858
2021-12-14,9.079999923706055,9.569999694824219,7.949999809265137,8.050000190734863,8.050000190734863,852000,EMBK,-0.02252698286496657,0.8307210096949916,-0.12794027435610095,-0.1278439230794982,9.635127660273524e-05,0.17607421102026385
2021-12-15,7.980000019073486,8.680000305175781,7.710000038146973,8.569999694824219,8.569999694824219,1270500,EMBK,0.04509025887576512,0.8882488210915835,0.06885477208407113,0.06459621015759076,-0.004258561926480373,0.6548603315498637
2021-12-16,8.670000076293945,9.34000015258789,8.5,8.59000015258789,8.59000015258789,1033000,EMBK,-0.05081502120210868,0.9100642249609443,-0.00930314578404896,0.0023337757848171936,0.011636921568866154,5.4621331731934575
2021-12-17,8.5,9.029999732971191,8.010000228881836,8.979999542236328,8.979999542236328,13169400,EMBK,-0.024242402057162327,0.8870432409466152,0.053462067561775344,0.04540155794187539,-0.008060509619899951,-0.4534505147813497
2021-12-20,9.15999984741211,9.1899995803833,8.359999656677246,8.59000015258789,8.59000015258789,493300,EMBK,-0.0372670457933485,0.9096844437862927,-0.06634619146671324,-0.04342977834398798,0.022916413122725257,0.5617058789583403
2021-12-21,8.640000343322754,8.899999618530273,8.569999694824219,8.720000267028809,8.720000267028809,397900,EMBK,0.037634346302927835,0.962921355297704,0.00918430289635912,0.01513388965444351,0.00594958675808439,4.0976813077285374
2021-12-22,8.75,8.899999618530273,8.520000457763672,8.649999618530273,8.649999618530273,425500,EMBK,-0.041450739310101126,0.9573034632523553,-0.01155073825199977,-0.008027597059052205,0.0035231411929475646,3.588579223750031
