,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-01-05,13.5,19.020000457763672,12.550000190734863,12.550000190734863,12.550000190734863,7000,ENVX,0.009490116019786887,0.6598317501938937,-0.0756871948069356,,,-0.1253860186520912
2021-01-06,13.479999542236328,13.75,11.789999961853027,12.75,12.75,21100,ENVX,-0.006097992513683037,0.8574545426802201,-0.057244866057751205,0.015936239539883656,0.07318110559763485,0.10652470577066434
2021-01-07,13.020000457763672,14.329999923706055,12.819999694824219,13.930000305175781,13.930000305175781,20500,ENVX,0.025641300789502663,0.8946266408289473,0.06533662078076145,0.0925490435431986,0.02721242276243714,0.3924491423506986
2021-01-08,18.8799991607666,20.059999465942383,13.25,13.699999809265137,13.699999809265137,102300,ENVX,0.010292726308001487,0.6605184622509929,-0.378092147709396,-0.016511162302357385,0.3615809854070386,-0.027222798384886168
2021-01-11,13.260000228881836,14.0,12.039999961853027,12.670000076293945,12.670000076293945,128600,ENVX,-0.012539844430301206,0.8599999972752163,-0.04655670473836888,-0.07518246330738021,-0.028625758569011332,0.26934561844036004
2021-01-12,12.75,17.75,12.75,13.779999732971191,13.779999732971191,217800,ENVX,0.002761492284541589,0.7183098591549296,0.0747559907787028,0.08760849644777013,0.01285250566906733,0.03694008006283169
2021-01-13,13.930000305175781,14.458000183105469,13.104999542236328,13.380000114440918,13.380000114440918,170900,ENVX,0.004323642135673156,0.9064185486420069,-0.0410961424537098,-0.029027549077029424,0.012068593376680377,-0.10520798005660152
2021-01-14,13.630000114440918,14.479999542236328,13.300000190734863,13.600000381469727,13.600000381469727,371500,ENVX,-0.001242334431341141,0.9185083295023901,-0.0021958626565972794,0.01644247123670528,0.01863833389330256,0.5657614457847147
2021-01-15,13.880000114440918,13.960000038146973,13.149999618530273,13.789999961853027,13.789999961853027,91700,ENVX,-0.008704551600417165,0.9419770474639471,-0.00651647953856822,0.013970556989261418,0.020487036527829638,1.3357751756755614
2021-01-19,14.0,14.449999809265137,13.569999694824219,14.399999618530273,14.399999618530273,79000,ENVX,0.015284816517290523,0.9391003372971206,0.02778775202268362,0.044234928090259196,0.016447176067575574,0.5500558845067158
2021-01-20,14.350000381469727,14.989999771118164,13.949999809265137,14.390000343322754,14.390000343322754,76700,ENVX,0.0197065068945248,0.9306204150945461,0.0027897054133906763,-0.000694394130028475,-0.0034840995434191513,7.064009984686171
2021-01-21,14.680000305175781,15.449999809265137,14.100000381469727,14.5,14.5,151900,ENVX,0.005473641067082813,0.9126213951804818,-0.012403814150053826,0.007644173318473113,0.02004798746852694,-0.44128693004151953
2021-01-22,15.569999694824219,15.59000015258789,14.5,15.0,15.0,166900,ENVX,0.0008979007267215788,0.9300833776831648,-0.03798997965494794,0.034482758620689724,0.07247273827563766,-0.02363519893606032
2021-01-25,15.0,15.479000091552734,13.875,13.949999809265137,13.949999809265137,120600,ENVX,0.006861866299858299,0.8963757295648525,-0.07525883190618317,-0.07000001271565759,0.005258819190525579,-0.09117689081877096
2021-01-26,14.050000190734863,14.949999809265137,12.760000228881836,13.039999961853027,13.039999961853027,187600,ENVX,-0.0007282686399603389,0.853511731884701,-0.07744400550893189,-0.06523296486410823,0.01221104064482366,0.009403809051125913
2021-01-27,12.9399995803833,13.210000038146973,12.149999618530273,12.5,12.5,243200,ENVX,-0.026086775791876904,0.9197577277399168,-0.03518996643066414,-0.04141104014054697,-0.006221073709882834,0.7413128922210389
2021-01-28,12.319999694824219,13.069999694824219,12.25,12.670000076293945,12.670000076293945,134400,ENVX,0.005015639747580014,0.9372609247153278,0.027634339334029746,0.013600006103515527,-0.014034333230514218,0.1815002590419669
2021-01-29,12.890000343322754,13.569999694824219,12.300000190734863,13.569999694824219,13.569999694824219,84500,ENVX,-0.019979495142946724,0.9064112356189845,0.05012049128916534,0.07103390790140618,0.02091341661224084,-0.39862927575224577
2021-02-01,13.640000343322754,14.399999618530273,13.300000190734863,14.260000228881836,14.260000228881836,73000,ENVX,0.025453836623223758,0.9236111488239275,0.043488252146402555,0.050847498126384894,0.007359245979982339,0.585303739905062
2021-02-02,14.579999923706055,14.779999732971191,14.0,14.779999732971191,14.779999732971191,73600,ENVX,0.015622214267598356,0.9472259981689195,0.013541787068911671,0.036465602787029594,0.022923815718117923,1.153630181016713
2021-02-03,15.25,16.485000610351562,14.777999877929688,15.75,15.75,112400,ENVX,-0.0001645684665440017,0.8964512787855171,0.03175603174603175,0.06562924794003444,0.033873216194002694,-0.005182274279737936
2021-02-04,15.850000381469727,15.850000381469727,15.180000305175781,15.550000190734863,15.550000190734863,34500,ENVX,0.012284611399153267,0.9577287028284716,-0.019282616530873774,-0.01269840058826266,0.006584215942611115,-0.6370821812218345
2021-02-05,15.550000190734863,16.0,15.0,15.979999542236328,15.979999542236328,70900,ENVX,0.005701919834175451,0.9375,0.026918595983682226,0.027652691075699787,0.0007340950920175608,0.2118208482207577
2021-02-08,16.0,17.31999969482422,15.600000381469727,16.670000076293945,16.670000076293945,76100,ENVX,0.009478709727799739,0.9006928785415346,0.04020196600045239,0.04317900837443056,0.002977042373978174,0.2357772683975972
2021-02-09,16.729999542236328,16.799999237060547,15.989999771118164,16.565000534057617,16.565000534057617,31700,ENVX,0.0014341624018918697,0.9517857438853011,-0.009950700444257454,-0.006298712762793923,0.0036519876814635303,-0.1441267788057598
2021-02-10,16.3799991607666,17.469999313354492,16.059999465942383,16.1299991607666,16.1299991607666,77900,ENVX,-0.00251075632577924,0.9192902173536852,-0.015489070862203146,-0.02626026919809954,-0.010771198335896393,0.1620985757064393
2021-02-11,15.930000305175781,16.8700008392334,15.5,15.949999809265137,15.949999809265137,86700,ENVX,0.003810280369455299,0.9187907071084856,0.0012638874187156823,-0.011159290816287304,-0.012423178235002986,3.01473083206032
2021-02-12,16.0,16.8799991607666,15.720000267028809,15.75,15.75,223300,ENVX,0.004969438229909917,0.9312796829733306,-0.015863015873015817,-0.012539173144626603,0.003323842728389214,-0.31327196982531585
2021-02-16,16.0,17.399999618530273,15.90999984741211,16.0,16.0,52500,ENVX,-0.0034032017018987837,0.9143678273687216,1e-05,0.015873015873015817,0.015863015873015817,-340.32017018987835
2021-02-17,16.25,17.25,16.010000228881836,16.450000762939453,16.450000762939453,88300,ENVX,-0.005838032790532077,0.9281159552974977,0.012168100526660109,0.02812504768371582,0.01595694715705571,-0.47978176854645826
2021-02-18,16.5,16.8799991607666,15.609999656677246,15.9399995803833,15.9399995803833,44200,ENVX,-0.007169807943156803,0.9247630588133466,-0.035121771289747646,-0.03100310996368738,0.004118661326060265,0.20414141086471152
2021-02-19,15.930000305175781,16.469999313354492,15.649999618530273,15.75,15.75,74700,ENVX,0.0006562836554027118,0.9502125240430743,-0.011418590804811512,-0.011919672859786345,-0.0005010820549748336,-0.05747501303980261
2021-02-22,20.0,28.5,19.0,20.799999237060547,20.799999237060547,20225500,ENVX,-0.024607095138204582,0.6666666666666666,0.038471503192516625,0.3206348721943204,0.2821633690018038,-0.6396187592428436
2021-02-23,19.0,20.989999771118164,17.530000686645508,20.510000228881836,20.510000228881836,1447800,ENVX,-0.0050136229714826674,0.8351596416292701,0.07363263344860808,-0.013942260519990923,-0.08757489396859901,-0.06808968709481139
2021-02-24,20.450000762939453,21.860000610351562,18.1200008392334,19.90999984741211,19.90999984741211,684800,ENVX,0.009860197347546285,0.8289112686782302,-0.027112095412649206,-0.029254040700829265,-0.002141945288180059,-0.363682599868175
2021-02-25,19.299999237060547,19.75,16.420000076293945,16.559999465942383,16.559999465942383,871700,ENVX,-0.03519202121238085,0.8313924089262757,-0.16544892871272726,-0.1682571776566416,-0.0028082489439143488,0.21270625011713168
2021-02-26,16.1200008392334,17.420000076293945,15.15999984741211,15.3100004196167,15.3100004196167,507800,ENVX,0.005558162482053319,0.8702640517230902,-0.052896622953376556,-0.07548303663272793,-0.022586413679351373,-0.10507594193588354
2021-03-01,16.5,19.260000228881836,15.826000213623047,19.18000030517578,19.18000030517578,1091900,ENVX,0.030053817590480314,0.8217030127492291,0.1397388979423309,0.25277594901959977,0.11303705107726886,0.2150712366637046
2021-03-02,19.18000030517578,19.600000381469727,17.559999465942383,18.139999389648438,18.139999389648438,308400,ENVX,-0.016928612525136666,0.8959183226620747,-0.05732191568467299,-0.054223195984344996,0.0030987197003279968,0.2953253101006029
2021-03-03,18.489999771118164,18.489999771118164,16.280000686645508,16.399999618530273,16.399999618530273,361600,ENVX,-0.027026402691170515,0.8804759809719019,-0.12742903665865996,-0.09592060802995905,0.0315084286287009,0.21208982975807364
2021-03-04,16.399999618530273,16.709999084472656,13.050000190734863,14.880000114440918,14.880000114440918,886400,ENVX,-0.02110213486468815,0.7809695335567819,-0.10214050352144873,-0.09268289874665092,0.009457604774797804,0.2065990878952037
2021-03-05,14.550000190734863,15.489999771118164,12.710000038146973,14.390000343322754,14.390000343322754,552800,ENVX,0.0154580997392475,0.8205293883764523,-0.011108821653562483,-0.03293009189177509,-0.02182127023821261,-1.3915156999833775
