,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-01-11,11.300000190734863,11.800000190734863,11.039999961853027,11.5,11.5,26700,HIPO,-0.012539844430301206,0.935593201983287,0.01740128776218579,,,-0.7206273812419308
2021-01-12,11.5600004196167,11.619999885559082,11.3100004196167,11.569999694824219,11.569999694824219,10700,HIPO,0.002761492284541589,0.9733219045614933,0.0008742416137653042,0.006086929984714606,0.005212688370949303,3.158728938385824
2021-01-13,12.140000343322754,12.140000343322754,11.5,11.739999771118164,11.739999771118164,76200,HIPO,0.004323642135673156,0.9472816865549128,-0.03406159965953665,0.014693178978214982,0.048754778637751635,-0.12693596833061865
2021-01-14,11.800000190734863,11.829999923706055,11.109999656677246,11.779999732971191,11.779999732971191,193500,HIPO,-0.001242334431341141,0.939137762326946,-0.0016878317671512144,0.0034071518426628256,0.00509498360981404,0.7360534713942489
2021-01-15,11.130000114440918,12.979999542236328,11.130000114440918,11.850000381469727,11.850000381469727,70300,HIPO,-0.008704551600417165,0.8574730744962205,0.06076951424902049,0.005942330227954873,-0.054827184021065616,-0.14323878852721733
2021-01-19,12.130000114440918,12.34000015258789,11.510000228881836,11.649999618530273,11.649999618530273,82100,HIPO,0.015284816517290523,0.9327390669819408,-0.04119176065475278,-0.01687770097055874,0.02431405968419404,-0.3710648992501109
2021-01-20,12.789999961853027,12.789999961853027,11.5,11.9399995803833,11.9399995803833,302600,HIPO,0.0197065068945248,0.8991399557700913,-0.0711793141827431,0.024892701403333772,0.09607201558607688,-0.27685721786994255
2021-01-21,12.0,12.640000343322754,11.880000114440918,12.300000190734863,12.300000190734863,117300,HIPO,0.005473641067082813,0.9398734012469141,0.02440025903112113,0.03015080594667885,0.005750546915557719,0.22432717046575193
2021-01-22,12.470000267028809,12.819999694824219,12.300000190734863,12.710000038146973,12.710000038146973,121500,HIPO,0.0008979007267215788,0.9594384152521241,0.018892751408170306,0.03333332041091741,0.014440569002747105,0.04752620236845308
2021-01-25,12.710000038146973,12.710000038146973,12.170000076293945,12.350000381469727,12.350000381469727,198000,HIPO,0.006861866299858299,0.9575137718149248,-0.02913976887105203,-0.028324127112255404,0.0008156417587966251,-0.2354811505274155
2021-01-26,12.5,12.5,11.824000358581543,11.899999618530273,11.899999618530273,218400,HIPO,-0.0007282686399603389,0.9459200286865235,-0.05041020173979056,-0.03643730761455255,0.013972894125238007,0.014446850336357425
