,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2016-04-26,9.75,9.75,9.75,9.75,9.75,5000,ISUN,,1.0,1e-05,,,
2016-04-27,9.819999694824219,9.819999694824219,9.800000190734863,9.800000190734863,9.800000190734863,1500,ISUN,,0.9979633905589735,-0.00203076568368472,0.005128224690755134,0.007158990374439855,
2016-04-28,9.899999618530273,9.899999618530273,9.850000381469727,9.850000381469727,9.850000381469727,12100,ISUN,,0.9949495718194816,-0.005066064479612397,0.0051020601797675535,0.01016812465937995,
2016-04-29,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-02,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-03,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-04,10.0,10.0,10.0,10.0,10.0,100,ISUN,,1.0,1e-05,0.015228387078284777,0.015218387078284778,
2016-05-05,10.0,10.0,10.0,10.0,10.0,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-06,10.0,10.0,10.0,10.0,10.0,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-09,10.0,10.0,10.0,10.0,10.0,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-10,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,1000,ISUN,,1.0,1e-05,-0.019999980926513672,-0.02000998092651367,
2016-05-11,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-12,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-13,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-16,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-17,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-18,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-19,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,3000,ISUN,,1.0,1e-05,0.0051020601797675535,0.005092060179767554,
2016-05-20,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-23,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,300,ISUN,,1.0,1e-05,-0.00507616129933619,-0.00508616129933619,
2016-05-24,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-25,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-26,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,200,ISUN,,1.0,1e-05,0.008163257362146625,0.008153257362146626,
2016-05-27,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-05-31,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,400,ISUN,,1.0,1e-05,0.002024241281143757,0.002014241281143757,
2016-06-01,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-02,9.84000015258789,9.850000381469727,9.84000015258789,9.850000381469727,9.850000381469727,3900,ISUN,,0.998984748376188,0.0010252516238119969,-0.005050428180518374,-0.00607567980433037,
2016-06-03,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-06,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-07,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,300,ISUN,,1.0,1e-05,0.00913697415513659,0.00912697415513659,
2016-06-08,9.880000114440918,9.880000114440918,9.859999656677246,9.869999885559082,9.869999885559082,2800,ISUN,,0.997975662193117,-0.001003194427333941,-0.007042223116625057,-0.006039028689291116,
2016-06-09,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,1000,ISUN,,1.0,1e-05,-0.001013194427334052,-0.001023194427334052,
2016-06-10,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-13,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-14,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-15,12.0,12.0,9.84000015258789,9.949999809265137,9.949999809265137,11900,ISUN,,0.8200000127156576,-0.20602017387256294,0.009127804839926368,0.2151479787124893,
2016-06-16,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-17,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,2300,ISUN,,1.0,1e-05,-0.011055242089031747,-0.011065242089031747,
2016-06-20,9.850000381469727,9.859999656677246,9.829999923706055,9.829999923706055,9.829999923706055,6500,ISUN,,0.9969574306272033,-0.002024634579745953,-0.0010162834071913984,0.0010083511725545546,
2016-06-21,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-22,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-23,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-24,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,8600,ISUN,,1.0,1e-05,0.002034634579745953,0.002024634579745953,
2016-06-27,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-28,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,4300,ISUN,,1.0,1e-05,0.0,-1e-05,
2016-06-29,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,3200,ISUN,,1.0,1e-05,0.0020304064279002,0.0020204064279002,
2016-06-30,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,0,ISUN,,1.0,1e-05,0.0,-1e-05,
