,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2019-01-25,9.829999923706055,9.829999923706055,9.649999618530273,9.649999618530273,9.649999618530273,205600,PAYA,0.01292152678441627,0.9816886768491532,-0.018642882102724533,,,-0.6931077884426398
2019-01-28,9.670000076293945,9.680000305175781,9.670000076293945,9.670000076293945,9.670000076293945,186800,PAYA,-0.011051114608086499,0.998966918536512,1e-05,0.002072586378684127,0.002062586378684127,-1105.1114608086498
2019-01-29,9.670000076293945,9.670000076293945,9.65999984741211,9.65999984741211,9.65999984741211,20300,PAYA,-0.008099453446249072,0.9989658501754978,-0.0010252203974945961,-0.0010341498245022285,-8.929427007632346e-06,7.900207083318164
2019-01-30,9.680000305175781,9.680000305175781,9.65999984741211,9.670000076293945,9.670000076293945,325500,PAYA,0.022023854764415374,0.9979338370730239,-0.0010241498245023395,0.0010352203974945962,0.0020593702219969356,-21.504524277116708
2019-01-31,9.680000305175781,9.680000305175781,9.670000076293945,9.670000076293945,9.670000076293945,24800,PAYA,0.01373507676051866,0.998966918536512,-0.0010241498245023395,0.0,0.0010241498245023395,-13.411198666360056
2019-02-01,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,40000,PAYA,-0.0024540997910280637,1.0,1e-05,0.0,-1e-05,-245.40997910280635
2019-02-04,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,0,PAYA,0.011518642338747664,1.0,1e-05,0.0,-1e-05,1151.8642338747663
2019-02-05,9.670000076293945,10.760000228881836,9.630000114440918,9.649999618530273,9.649999618530273,307300,PAYA,0.007422897836900866,0.89498140423754,-0.002062586378684127,-0.002068299649004457,-5.713270320329995e-06,-3.598830048337888
2019-02-06,9.680000305175781,9.680000305175781,9.649999618530273,9.649999618530273,9.649999618530273,30400,PAYA,-0.003620643479385177,0.9969007556095358,-0.0030988795680260794,0.0,0.0030988795680260794,1.1683717937097666
2019-02-07,9.680000305175781,9.770000457763672,9.65999984741211,9.680000305175781,9.680000305175781,205600,PAYA,-0.011786629122187087,0.9887409820678001,1e-05,0.0031088795680260795,0.0030988795680260794,-1178.6629122187085
2019-02-08,9.680000305175781,9.6899995803833,9.680000305175781,9.6899995803833,9.6899995803833,10100,PAYA,0.0013514852503335728,0.9989680830092333,0.001041916990766657,0.0010329829434172488,-8.934047349408187e-06,1.2971141293502961
2019-02-11,9.890000343322754,9.890000343322754,9.670000076293945,9.670000076293945,9.670000076293945,500,PAYA,0.0013290546671329562,0.977755282164642,-0.022740803029272016,-0.0020639323999397385,0.020676870629332277,-0.05844361192620128
2019-02-12,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,9.670000076293945,2000,PAYA,0.014603404024393196,1.0,1e-05,0.0,-1e-05,1460.3404024393194
2019-02-13,10.425000190734863,10.425000190734863,9.65999984741211,9.65999984741211,9.65999984741211,800,PAYA,0.0007768119652749039,0.9266186734459111,-0.07918258337542279,-0.0010341498245022285,0.07814843355092056,-0.009810389256837708
2019-02-14,9.670000076293945,9.71500015258789,9.670000076293945,9.6899995803833,9.6899995803833,101700,PAYA,0.0008854415277603778,0.9953679798675085,0.0020739323999397386,0.0031055624684330763,0.0010316300684933377,0.42693847098685844
2019-02-15,9.680000305175781,9.699999809265137,9.680000305175781,9.699999809265137,9.699999809265137,700,PAYA,0.006120945979440018,0.9979381954141635,0.002071804585836491,0.0010320154091729705,-0.0010397891766635203,2.954403142692479
2019-02-19,9.680000305175781,9.6899995803833,9.680000305175781,9.6899995803833,9.6899995803833,50300,PAYA,0.0019217177565178378,0.9989680830092333,0.001041916990766657,-0.001030951451389095,-0.002072868442155752,1.8444058150004936
2019-02-20,9.687000274658203,9.989999771118164,9.680000305175781,9.710000038146973,9.710000038146973,110000,PAYA,0.00030718249411965104,0.9689690217172362,0.0023786677032350723,0.002064030818346163,-0.0003146368848889092,0.1291405662513818
2019-02-21,9.720000267028809,9.720000267028809,9.680000305175781,9.699999809265137,9.699999809265137,3500,PAYA,-0.003920361803318229,0.9958847777001909,-0.00205190290277819,-0.0010298896851234085,0.0010220132176547814,1.9105981077419523
2019-02-22,10.1899995803833,10.1899995803833,9.880000114440918,9.880000114440918,9.880000114440918,700,PAYA,0.009092857293405476,0.9695780688215964,-0.03136646380077252,0.018556732857236913,0.049923196658009435,-0.28989105533730997
2019-02-25,9.680000305175781,9.890000343322754,9.680000305175781,9.699999809265137,9.699999809265137,58500,PAYA,0.003576191124232464,0.9787664276180986,0.002071804585836491,-0.018218654158990044,-0.020290458744826535,1.7261237612274989
2019-02-26,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,500,PAYA,-0.0006830609039801816,1.0,1e-05,0.0,-1e-05,-68.30609039801816
2019-02-27,9.710000038146973,9.890000343322754,9.6899995803833,9.6899995803833,9.6899995803833,84000,PAYA,0.0006901250542818982,0.9797774766434175,-0.002054030818346163,-0.001030951451389095,0.0010230793669570681,-0.33598573503272156
2019-02-28,9.800000190734863,9.800000190734863,9.6899995803833,9.699999809265137,9.699999809265137,7900,PAYA,-0.0029095177782103576,0.9887754481417705,-0.010299317880007552,0.0010320154091729705,0.011331333289180522,0.2824961625719066
2019-03-01,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,PAYA,0.008339869113268561,1.0,1e-05,0.0,-1e-05,833.986911326856
2019-03-04,9.699999809265137,9.699999809265137,9.6899995803833,9.6899995803833,9.6899995803833,700,PAYA,-0.002340941919581341,0.9989690485486109,-0.0010220154091729705,-0.001030951451389095,-8.936042216124446e-06,2.290515288292634
2019-03-05,9.720000267028809,9.720000267028809,9.6899995803833,9.6899995803833,9.6899995803833,900,PAYA,-0.00015967664641414192,0.996913509689164,-0.0030860462275191336,0.0,0.0030860462275191336,0.05174149531211192
2019-03-06,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,9.6899995803833,0,PAYA,-0.009297333109483996,1.0,1e-05,0.0,-1e-05,-929.7333109483995
2019-03-07,9.6899995803833,9.6899995803833,9.670000076293945,9.670000076293945,9.670000076293945,14100,PAYA,-0.011252446311257991,0.9979360676000603,-0.002058201027048966,-0.0020639323999397385,-5.731372890772652e-06,5.467126953770725
2019-03-08,9.699999809265137,9.704999923706055,9.699999809265137,9.699999809265137,9.699999809265137,10300,PAYA,-0.0017947714181385521,0.99948478985263,1e-05,0.0031023508515513054,0.0030923508515513054,-179.47714181385518
2019-03-11,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,100,PAYA,0.020237187621750863,1.0,1e-05,0.0,-1e-05,2023.718762175086
2019-03-12,9.649999618530273,9.890000343322754,9.649999618530273,9.699999809265137,9.699999809265137,21100,PAYA,0.0043621943073888225,0.9757329912577286,0.005164658940003775,0.0,-0.005164658940003775,0.8446238867005676
2019-03-13,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,100,PAYA,0.006900298454391107,1.0,1e-05,0.009278366428618456,0.009268366428618457,690.0298454391107
2019-03-14,9.699999809265137,9.699999809265137,9.680000305175781,9.680000305175781,9.680000305175781,21200,PAYA,-0.0016353956865416963,0.9979381954141635,-0.002056064406905266,-0.011235920031242297,-0.00917985562433703,0.7954010005957212
2019-03-15,9.800000190734863,9.800000190734863,9.699999809265137,9.710000038146973,9.710000038146973,241200,PAYA,0.00755081998430529,0.9897958796404648,-0.009258810734738731,0.003099145870393283,0.012357956605132014,-0.8155280630129829
2019-03-18,9.758000373840332,9.758000373840332,9.758000373840332,9.758000373840332,9.758000373840332,100,PAYA,0.0033751830372823477,1.0,1e-05,0.00494339191604376,0.0049333919160437605,337.51830372823474
2019-03-19,9.765999794006348,9.765999794006348,9.699999809265137,9.699999809265137,9.699999809265137,1100,PAYA,0.0012275895287467975,0.9932418609324857,-0.006794122272061175,-0.005943898580972107,0.0008502236910890686,-0.18068405006411167
