,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2020-07-14,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,200,PCT,,1.0,1e-05,,,
2020-07-15,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-16,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,100,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-17,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-20,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,200,PCT,,1.0,1e-05,-0.027450954726180976,-0.027460954726180976,
2020-07-21,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-22,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-23,9.9399995803833,9.9399995803833,9.920000076293945,9.920000076293945,9.920000076293945,2000,PCT,,0.9979879773708618,-0.0020060790257601757,0.0,0.0020060790257601757,
2020-07-24,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-27,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,4000,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-28,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-29,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-30,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-07-31,9.880000114440918,9.954999923706055,9.880000114440918,9.880000114440918,9.880000114440918,6500,PCT,,0.9924661165404394,1e-05,-0.004032254188043427,-0.004042254188043427,
2020-08-03,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,100,PCT,,1.0,1e-05,0.0,-1e-05,
2020-08-04,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-08-05,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-08-06,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,100,PCT,,1.0,1e-05,0.0,-1e-05,
2020-08-07,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-08-10,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,PCT,,1.0,1e-05,0.0,-1e-05,
2020-08-11,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,PCT,,1.0,1e-05,0.0,-1e-05,
