,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2020-04-23,9.75,9.75,9.75,9.75,9.75,100,QNGY,-7.41441608484994e-05,1.0,1e-05,,,-7.414416084849939
2020-04-24,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.016453636805085603,1.0,1e-05,0.0,-1e-05,1645.3636805085603
2020-04-27,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.011076542783169163,1.0,1e-05,0.0,-1e-05,1107.6542783169161
2020-04-28,9.75,9.75,9.75,9.75,9.75,0,QNGY,-0.014023761913732113,1.0,1e-05,0.0,-1e-05,-1402.3761913732112
2020-04-29,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.03566323240510094,1.0,1e-05,0.0,-1e-05,3566.323240510094
2020-04-30,9.75,9.75,9.75,9.75,9.75,0,QNGY,-0.0028223191063138087,1.0,1e-05,0.0,-1e-05,-282.23191063138086
2020-05-01,9.75,9.75,9.75,9.75,9.75,0,QNGY,-0.03201507563689321,1.0,1e-05,0.0,-1e-05,-3201.5075636893207
2020-05-04,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.01229057266160738,1.0,1e-05,0.0,-1e-05,1229.0572661607378
2020-05-05,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.0112976045226294,1.0,1e-05,0.0,-1e-05,1129.76045226294
2020-05-06,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.005138939036791523,1.0,1e-05,0.0,-1e-05,513.8939036791523
2020-05-07,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.014147842232649754,1.0,1e-05,0.0,-1e-05,1414.7842232649753
2020-05-08,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.01577567010165759,1.0,1e-05,0.0,-1e-05,1577.567010165759
2020-05-11,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.0077861021011040865,1.0,1e-05,0.0,-1e-05,778.6102101104086
2020-05-12,9.75,9.75,9.75,9.75,9.75,0,QNGY,-0.020646542913830723,1.0,1e-05,0.0,-1e-05,-2064.654291383072
2020-05-13,9.75,9.75,9.75,9.75,9.75,0,QNGY,-0.015482267339407163,1.0,1e-05,0.0,-1e-05,-1548.2267339407163
2020-05-14,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.009088148528969997,1.0,1e-05,0.0,-1e-05,908.8148528969996
2020-05-15,9.75,9.75,9.75,9.75,9.75,0,QNGY,0.00792062429456597,1.0,1e-05,0.0,-1e-05,792.0624294565969
2020-05-18,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,58000,QNGY,0.024434971680470374,1.0,1e-05,-0.01025644938151038,-0.01026644938151038,2443.497168047037
2020-05-19,9.75,9.75,9.75,9.75,9.75,200,QNGY,-0.005385098407798439,1.0,1e-05,0.010362734240704219,0.01035273424070422,-538.5098407798438
2020-05-20,10.420000076293945,10.579999923706055,9.649999618530273,9.699999809265137,9.699999809265137,475100,QNGY,0.020759781839260194,0.9120982691982844,-0.07421683311200551,-0.005128224690755245,0.06908860842125027,-0.2797179692096298
2020-05-21,9.520000457763672,9.65999984741211,9.520000457763672,9.649999618530273,9.649999618530273,229300,QNGY,-0.009695234740358605,0.9855073093312788,0.013481416156014437,-0.005154658940003776,-0.018636075096018213,-0.7191555121628145
2020-05-22,9.520000457763672,9.520000457763672,9.510000228881836,9.510000228881836,9.510000228881836,800,QNGY,0.004276841643477525,0.9989495558402331,-0.001041548753013165,-0.01450770934535639,-0.013466160592343224,-4.106232791412565
2020-05-26,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,300,QNGY,0.0016762005701491667,1.0,1e-05,0.014721281417350518,0.014711281417350518,167.62005701491665
2020-05-27,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.00772365395161323,1.0,1e-05,0.0,-1e-05,772.3653951613229
2020-05-28,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,100,QNGY,-0.0046077833367589305,1.0,1e-05,0.0,-1e-05,-460.778333675893
2020-05-29,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.012902124966358564,1.0,1e-05,0.0,-1e-05,1290.2124966358563
2020-06-01,9.619999885559082,9.670000076293945,9.600000381469727,9.649999618530273,9.649999618530273,398700,QNGY,0.006552216914684994,0.9927611484723953,0.0031187807416680935,0.0,-0.0031187807416680935,2.100890526591014
2020-06-02,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.005897171735574247,1.0,1e-05,0.0,-1e-05,589.7171735574246
2020-06-03,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.007756799205120846,1.0,1e-05,0.0,-1e-05,775.6799205120845
2020-06-04,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,-0.006929795366756419,1.0,1e-05,0.0,-1e-05,-692.9795366756418
2020-06-05,9.600000381469727,9.649999618530273,9.600000381469727,9.649999618530273,9.649999618530273,13400,QNGY,0.02061922153956064,0.9948187317060058,0.005191268293994234,0.0,-0.005191268293994234,3.9719044310260303
2020-06-08,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.011276647530284345,1.0,1e-05,0.0,-1e-05,1127.6647530284345
2020-06-09,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.0029219879593944675,1.0,1e-05,0.0,-1e-05,292.1987959394467
2020-06-10,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,9.649999618530273,0,QNGY,0.0066909063795053125,1.0,1e-05,0.0,-1e-05,669.0906379505312
2020-06-11,9.949999809265137,9.949999809265137,9.864999771118164,9.864999771118164,9.864999771118164,300,QNGY,-0.05265476367524757,0.991457282434536,-0.008606324391190311,0.02227980943906349,0.030886133830253803,6.11814768789642
2020-06-12,10.079999923706055,10.079999923706055,10.079999923706055,10.079999923706055,10.079999923706055,100,QNGY,0.010121334623245826,1.0,1e-05,0.021794237970217623,0.021784237970217623,1012.1334623245825
2020-06-15,10.079999923706055,10.079999923706055,10.079999923706055,10.079999923706055,10.079999923706055,0,QNGY,0.014309384280850601,1.0,1e-05,0.0,-1e-05,1430.93842808506
2020-06-16,9.9399995803833,9.9399995803833,9.800000190734863,9.800000190734863,9.800000190734863,200,QNGY,0.017463525072283215,0.9859155537667499,-0.01427565172690477,-0.027777751497069958,-0.013502099770165189,-1.2233084279697286
2020-06-17,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,400000,QNGY,0.0014814418617457026,1.0,1e-05,0.0,-1e-05,148.14418617457025
2020-06-18,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,QNGY,0.0032813109241147664,1.0,1e-05,0.0,-1e-05,328.13109241147663
2020-06-19,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,QNGY,0.00030878981402193695,1.0,1e-05,0.0,-1e-05,30.87898140219369
2020-06-22,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,200,QNGY,0.011095819300612542,1.0,1e-05,0.012244886043219827,0.012234886043219827,1109.581930061254
2020-06-23,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,1200,QNGY,0.007446904378745289,1.0,1e-05,-0.007056420794945173,-0.0070664207949451725,744.6904378745289
