,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-02-09,10.220000267028809,10.229999542236328,10.149999618530273,10.149999618530273,10.149999618530273,41500,SABS,,0.99217987025554,-0.00688661587481627,,,
2021-02-10,10.149999618530273,10.3100004196167,10.0600004196167,10.199999809265137,10.199999809265137,162700,SABS,,0.9757516983680885,0.004911979575474668,0.004926127351136067,1.414777566139877e-05,
2021-02-11,10.210000038146973,10.210000038146973,10.100000381469727,10.135000228881836,10.135000228881836,23200,SABS,,0.98922628244209,-0.007390079681439742,-0.0063725079998784295,0.0010175716815613127,
2021-02-12,10.359999656677246,10.449999809265137,10.199999809265137,10.210000038146973,10.210000038146973,171200,SABS,,0.9760765545872694,-0.014681441524959715,0.007400079681439742,0.022081521206399456,
2021-02-16,10.34000015258789,10.34000015258789,10.210000038146973,10.220000267028809,10.220000267028809,7300,SABS,,0.9874274552686171,-0.011731671470031135,0.0009794543432393166,0.012711125813270451,
2021-02-17,10.220000267028809,10.220000267028809,10.119999885559082,10.154999732971191,10.154999732971191,6800,SABS,,0.9902152271177191,-0.006390840548185683,-0.006360130367835559,3.071018035012349e-05,
2021-02-18,10.199999809265137,10.75,10.15999984741211,10.380000114440918,10.380000114440918,40800,SABS,,0.945116264875545,0.017351069671604314,0.022156611264025683,0.004805541592421369,
2021-02-19,10.3100004196167,10.319999694824219,10.140000343322754,10.15999984741211,10.15999984741211,82200,SABS,,0.9825582018581125,-0.01475383606863907,-0.02119463050127901,-0.006440794432639941,
2021-02-22,10.199999809265137,10.260000228881836,10.140000343322754,10.149999618530273,10.149999618530273,382700,SABS,,0.9883041049822511,-0.0049161273511360674,-0.0009842745110260065,0.003931852840110061,
2021-02-23,10.170000076293945,10.199999809265137,10.0600004196167,10.130000114440918,10.130000114440918,121100,SABS,,0.9862745693856514,-0.003938663514426354,-0.001970394565615874,0.0019682689488104803,
2021-02-24,10.130000114440918,10.350000381469727,10.100000381469727,10.270000457763672,10.270000457763672,73300,SABS,,0.9758454115182845,0.013641970504628387,0.013820369372274266,0.0001783988676458785,
2021-02-25,10.329999923706055,10.329999923706055,9.930000305175781,10.119999885559082,10.119999885559082,208100,SABS,,0.961277868200916,-0.020740992146416625,-0.014605702582145108,0.006135289564271517,
2021-02-26,10.25,10.25,10.039999961853027,10.079999923706055,10.079999923706055,57100,SABS,,0.9795121914002953,-0.016855087061572304,-0.003952565445193956,0.012902521616378348,
2021-03-01,10.140000343322754,10.140000343322754,10.0600004196167,10.085000038146973,10.085000038146973,6200,SABS,,0.992110461440099,-0.005443674265517128,0.0004960431030518464,0.0059397173685689746,
2021-03-02,10.050000190734863,10.100000381469727,9.920000076293945,10.0,10.0,83300,SABS,,0.9821781882794753,-0.00499001907348624,-0.008428362699599012,-0.0034383436261127727,
2021-03-03,10.0,10.0,9.859999656677246,9.859999656677246,9.859999656677246,36100,SABS,,0.9859999656677246,-0.014188818275611647,-0.014000034332275368,0.00018878394333627854,
