,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-03-01,10.5,10.899999618530273,10.25,10.75,10.75,91500,SES,0.030053817590480314,0.9403670053872977,0.023265813953488413,,,1.291758700149587
2021-03-02,10.720000267028809,11.100000381469727,10.149999618530273,10.279999732971191,10.279999732971191,139800,SES,-0.016928612525136666,0.9144143486224218,-0.04279160948315958,-0.04372095507244733,-0.0009293455892877486,0.39560588464892477
2021-03-03,10.6899995803833,10.760000228881836,10.0,10.119999885559082,10.119999885559082,506200,SES,-0.027026402691170515,0.9293680099706825,-0.056314081153161784,-0.015564187895738879,0.040749893257422905,0.47992264346220453
2021-03-04,10.109999656677246,10.5,9.869999885559082,10.079999923706055,10.079999923706055,324100,SES,-0.02110213486468815,0.9399999891008649,-0.00296616400776346,-0.003952565445193956,-0.0009864014374304964,7.114284580844716
2021-03-05,10.079999923706055,10.140000343322754,9.920000076293945,10.0,10.0,261000,SES,0.0154580997392475,0.978303721934913,-0.007989992370605558,-0.007936500427734305,5.349194287125256e-05,-1.9346826657953289
2021-03-08,10.0,10.09000015258789,9.899999618530273,9.949999809265137,9.949999809265137,63200,SES,-0.02407017139681733,0.9811694220828246,-0.005015144893802347,-0.00500001907348635,1.5125820315996935e-05,4.799496705780713
2021-03-09,10.050000190734863,10.119999885559082,9.9399995803833,10.015000343322754,10.015000343322754,44000,SES,0.03685099962979543,0.9822134083783305,-0.0034847425074671745,0.006532717115943054,0.010017459623410229,-10.574956270321376
2021-03-10,10.220000267028809,10.220000267028809,9.859999656677246,10.010000228881836,10.010000228881836,293500,SES,-0.00038169672335397475,0.9647748922753969,-0.020969024310215256,-0.0004992625331512457,0.02046976177706401,0.018202884297674624
2021-03-11,10.039999961853027,10.279999732971191,10.0,10.079999923706055,10.079999923706055,45800,SES,0.025238666489519668,0.972762671182457,0.003978250213867152,0.006992976346019253,0.0030147261321521006,6.344162667683444
2021-03-12,10.140000343322754,10.34000015258789,10.0,10.319999694824219,10.319999694824219,55300,SES,-0.005881895051674801,0.9671179741227764,0.01745179814188751,0.023809501283202916,0.0063577031413154066,-0.3370366195995115
2021-03-15,10.319999694824219,10.4399995803833,10.010000228881836,10.3100004196167,10.3100004196167,78500,SES,0.010499329999251517,0.958812320997653,-0.0009598617653297603,-0.0009689220448847458,-9.060279554985468e-06,-10.938377148134945
2021-03-16,10.3100004196167,10.423999786376953,10.170000076293945,10.199999809265137,10.199999809265137,96000,SES,0.0008811743787140447,0.9756331815724941,-0.01077437376554109,-0.01066931191799625,0.00010506184754483991,-0.08178427794404551
2021-03-17,10.25,10.300000190734863,10.100000381469727,10.199999809265137,10.199999809265137,138400,SES,0.003980967442432259,0.980582543149364,-0.00489197957547478,0.0,0.00489197957547478,-0.8137743383864998
2021-03-18,10.119999885559082,10.220000267028809,10.050000190734863,10.0600004196167,10.0600004196167,95500,SES,-0.030242086440928184,0.9833659420888285,-0.0059541613757177585,-0.01372543061434861,-0.007771269238630852,5.079151291441539
2021-03-19,10.199999809265137,10.199999809265137,10.029999732971191,10.079999923706055,10.079999923706055,105000,SES,0.0075532959004116496,0.9833333255418764,-0.011894750641601459,0.0019880221923607166,0.013882772833962175,-0.6350108655488977
2021-03-22,10.050000190734863,10.119999885559082,9.710000038146973,9.710000038146973,9.710000038146973,33600,SES,0.012281260257784199,0.9594861806276138,-0.0350054635687081,-0.03670633813090807,-0.0017008745621999652,-0.3508383836619892
2021-03-23,10.020000457763672,10.0600004196167,9.850000381469727,9.9399995803833,9.9399995803833,327400,SES,-0.011200851824211822,0.979125245587716,-0.008038378345835605,0.023686873463722558,0.031725251809558166,1.3934218249399246
