,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2019-03-06,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,475000,SNAX,-0.009297333109483996,1.0,1e-05,,,-929.7333109483995
2019-03-07,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,-0.011252446311257991,1.0,1e-05,0.0,-1e-05,-1125.244631125799
2019-03-08,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,100,SNAX,-0.0017947714181385521,1.0,1e-05,0.0,-1e-05,-179.47714181385518
2019-03-11,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,0.020237187621750863,1.0,1e-05,0.0,-1e-05,2023.718762175086
2019-03-12,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,0.0043621943073888225,1.0,1e-05,0.0,-1e-05,436.21943073888224
2019-03-13,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,0.006900298454391107,1.0,1e-05,0.0,-1e-05,690.0298454391107
2019-03-14,9.699999809265137,9.710000038146973,9.699999809265137,9.699999809265137,9.699999809265137,2000,SNAX,-0.0016353956865416963,0.9989701103148766,1e-05,0.0,-1e-05,-163.5395686541696
2019-03-15,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,0.00755081998430529,1.0,1e-05,0.0,-1e-05,755.081998430529
2019-03-18,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,0.0033751830372823477,1.0,1e-05,0.0,-1e-05,337.51830372823474
2019-03-19,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0,SNAX,0.0012275895287467975,1.0,1e-05,0.0,-1e-05,122.75895287467974
2019-03-20,9.760000228881836,9.760000228881836,9.736000061035156,9.736000061035156,9.736000061035156,104800,SNAX,0.0006499290394565982,0.9975409664668184,-0.002455095285150154,0.003711366234835811,0.0061664615199859656,-0.26472660486448224
2019-03-21,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,200000,SNAX,0.014230840983513016,1.0,1e-05,-0.000616322797987956,-0.000626322797987956,1423.0840983513015
2019-03-22,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,0,SNAX,-0.0250403165777906,1.0,1e-05,0.0,-1e-05,-2504.03165777906
2019-03-25,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,30000,SNAX,-0.0006712160625722552,1.0,1e-05,0.0,-1e-05,-67.12160625722551
2019-03-26,9.75,9.75,9.75,9.75,9.75,13100,SNAX,0.007067718164836645,1.0,1e-05,0.0020555456017088414,0.0020455456017088413,706.7718164836645
2019-03-27,9.75,9.75,9.75,9.75,9.75,200,SNAX,-0.006258858664673128,1.0,1e-05,0.0,-1e-05,-625.8858664673128
2019-03-28,9.75,9.75,9.75,9.75,9.75,0,SNAX,0.0033741668552276227,1.0,1e-05,0.0,-1e-05,337.41668552276224
2019-03-29,9.800000190734863,9.800000190734863,9.75,9.75,9.75,5200,SNAX,0.007843078580405782,0.9948979398202324,-0.005118224690755135,0.0,0.005118224690755135,-1.532382623719598
2019-04-01,9.779999732971191,9.779999732971191,9.75,9.770000457763672,9.770000457763672,51400,SNAX,0.01288474720882915,0.99693254255723,-0.0010134672199604944,0.002051329001402147,0.003064796221362641,-12.713531286518972
2019-04-02,9.960000038146973,9.960000038146973,9.760000228881836,9.760000228881836,9.760000228881836,3300,SNAX,0.0025265055750396392,0.979919697941854,-0.02048178325562906,-0.0010235648324754543,0.019458218423153605,-0.12335378924319362
2019-04-03,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,680000,SNAX,0.005970405714976534,1.0,1e-05,0.0,-1e-05,597.0405714976534
2019-04-04,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,0,SNAX,-0.00047748663798075075,1.0,1e-05,0.0,-1e-05,-47.74866379807507
