,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2020-03-12,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,2500,VWE,-0.09434674309481184,1.0,1e-05,,,-9434.674309481183
2020-03-13,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,0,VWE,0.09345998172386105,1.0,1e-05,0.0,-1e-05,9345.998172386104
2020-03-16,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,0,VWE,-0.12321331290147408,1.0,1e-05,0.0,-1e-05,-12321.331290147407
2020-03-17,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,9.680000305175781,0,VWE,0.06230492341201921,1.0,1e-05,0.0,-1e-05,6230.492341201921
2020-03-18,9.380000114440918,9.380000114440918,9.25,9.25,9.25,34600,VWE,-0.047027988775385166,0.9861407129152614,-0.01404406642604512,-0.044421517729277826,-0.030377451303232706,3.348601989532777
2020-03-19,9.25,9.25,9.25,9.25,9.25,0,VWE,0.022996268579562162,1.0,1e-05,0.0,-1e-05,2299.626857956216
2020-03-20,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.037907422283539605,1.0,1e-05,0.0,-1e-05,-3790.74222835396
2020-03-23,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.0027400309327879624,1.0,1e-05,0.0,-1e-05,-274.0030932787962
2020-03-24,9.25,9.25,9.25,9.25,9.25,0,VWE,0.08121509236724389,1.0,1e-05,0.0,-1e-05,8121.509236724389
2020-03-25,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.004524223861369192,1.0,1e-05,0.0,-1e-05,-452.42238613691916
2020-03-26,9.25,9.25,9.25,9.25,9.25,0,VWE,0.055962006595761116,1.0,1e-05,0.0,-1e-05,5596.200659576111
2020-03-27,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.03785298373222423,1.0,1e-05,0.0,-1e-05,-3785.298373222423
2020-03-30,9.25,9.25,9.25,9.25,9.25,0,VWE,0.03622450792632592,1.0,1e-05,0.0,-1e-05,3622.450792632592
2020-03-31,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.00952513208745509,1.0,1e-05,0.0,-1e-05,-952.513208745509
2020-04-01,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.04409293583528773,1.0,1e-05,0.0,-1e-05,-4409.293583528773
2020-04-02,9.25,9.25,9.25,9.25,9.25,0,VWE,0.017217390358319706,1.0,1e-05,0.0,-1e-05,1721.7390358319706
2020-04-03,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.01525647790392215,1.0,1e-05,0.0,-1e-05,-1525.6477903922148
2020-04-06,9.25,9.25,9.25,9.25,9.25,0,VWE,0.0732611270359842,1.0,1e-05,0.0,-1e-05,7326.112703598419
2020-04-07,9.25,9.25,9.25,9.25,9.25,0,VWE,-0.0032831644156512407,1.0,1e-05,0.0,-1e-05,-328.316441565124
2020-04-08,9.25,9.25,9.25,9.25,9.25,0,VWE,0.025818870275615025,1.0,1e-05,0.0,-1e-05,2581.8870275615022
2020-04-09,9.25,9.25,9.25,9.25,9.25,0,VWE,0.007746996815903406,1.0,1e-05,0.0,-1e-05,774.6996815903406
2020-04-13,9.25,9.25,9.25,9.25,9.25,0,VWE,0.004763532506929291,1.0,1e-05,0.0,-1e-05,476.35325069292907
2020-04-14,9.25,9.25,9.25,9.25,9.25,0,VWE,0.039465788568367355,1.0,1e-05,0.0,-1e-05,3946.578856836735
