,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2021-10-21,11.279999732971191,11.880000114440918,10.5,11.779999732971191,11.779999732971191,11674500,WE,0.018699149485345457,0.8838383753243034,0.042454822693887166,,,0.440448182298918
2021-10-22,13.350000381469727,14.970000267028809,12.300000190734863,13.020000457763672,13.020000457763672,13574100,WE,0.02873109481433289,0.8216432846581454,-0.025335615368951746,0.10526322180821679,0.13059883717716853,-1.1340200108003784
2021-10-25,13.59000015258789,14.390000343322754,12.5,13.180000305175781,13.180000305175781,8022900,WE,0.03335914197428336,0.868658770102132,-0.031097726700970062,0.012288774330780017,0.04338650103175008,-1.0727196330155784
2021-10-26,13.319999694824219,13.654999732971191,12.130000114440918,12.350000381469727,12.350000381469727,5204500,WE,-0.021771769406700003,0.8883193227131284,-0.07853245209659317,-0.06297419609164301,0.015558256004950158,0.27723277225472615
2021-10-27,11.779999732971191,11.930000305175781,10.239999771118164,10.359999656677246,10.359999656677246,8603200,WE,-0.0053721946476400495,0.8583402773825229,-0.13705564897217198,-0.1611336569493821,-0.024078007977210103,0.03919717784657551
2021-10-28,10.65999984741211,11.609999656677246,9.899999618530273,10.569999694824219,10.569999694824219,8342800,WE,-0.005401211004489093,0.8527131706534115,-0.008504678825578548,0.020270274624152318,0.028774953449730866,0.6350870050782504
2021-10-29,10.5,10.779999732971191,10.130000114440918,10.210000038146973,10.210000038146973,4597100,WE,0.016291701516963686,0.9397031878820724,-0.028393522112587565,-0.034058625077683424,-0.005665102965095859,-0.5737823385335193
2021-11-01,10.149999618530273,10.279999732971191,9.579999923706055,9.890000343322754,9.890000343322754,6821500,WE,0.03206107359264254,0.9319066315712036,-0.02627910679290919,-0.03134179173639806,-0.005062684943488872,-1.2200214354809609
2021-11-02,9.869999885559082,10.0,9.539999961853027,9.710000038146973,9.710000038146973,5705100,WE,-0.02514793942870397,0.9539999961853027,-0.016467842099230644,-0.018200232449669063,-0.0017323903504384182,1.5270937914736775
2021-11-03,9.649999618530273,9.675000190734863,9.289999961853027,9.510000228881836,9.510000228881836,4919500,WE,-0.02048561847586927,0.960206695473709,-0.014711281417350518,-0.02059730262403836,-0.005886021206687842,1.3925108149796175
2021-11-04,9.449999809265137,9.680000305175781,9.329999923706055,9.529999732971191,9.529999732971191,4381600,WE,-0.0038729815124580735,0.9638429369384849,0.00840453577624738,0.002102997224817882,-0.006301538551429498,-0.46082039693420845
2021-11-05,9.550000190734863,10.0,9.449999809265137,9.90999984741211,9.90999984741211,3659900,WE,-0.03654738148538417,0.9449999809265137,0.03633690839760766,0.03987409497255512,0.0035371865749474554,-1.0057922673407835
2021-11-08,10.100000381469727,10.130000114440918,9.050000190734863,9.539999961853027,9.539999961853027,7489200,WE,0.003228406839761222,0.8933859909669251,-0.05869025386330568,-0.03733601324481384,0.021354240618491845,-0.05500754601062795
2021-11-09,9.5,9.979999542236328,9.449999809265137,9.75,9.75,3562500,WE,0.0096540533075542,0.9468938118956638,0.02565102564102566,0.022012582703006878,-0.003638442938018783,0.37636129808835905
2021-11-10,9.699999809265137,9.829999923706055,9.479999542236328,9.640000343322754,9.640000343322754,3281500,WE,-0.04063746781919153,0.9643946709881793,-0.006214010768209443,-0.01128201606946111,-0.005068005301251666,6.5396519792161785
